City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.12,85,100,9.55,TF,1689805107
1,olonkinbyen,70.9221,-8.7187,4.9,91,81,4.35,SJ,1689805107
2,kralendijk,12.15,-68.2667,27.51,86,7,10.23,BQ,1689805107
3,al khums,32.6486,14.2619,27.29,69,0,1.85,LY,1689805107
4,waitangi,-43.9535,-176.5597,13.23,91,84,1.79,NZ,1689805107
5,walvis bay,-22.9575,14.5053,13.09,77,0,1.95,NA,1689805108
6,adamstown,-25.066,-130.1015,22.34,85,100,11.25,PN,1689805108
7,bredasdorp,-34.5322,20.0403,7.64,76,56,0.96,ZA,1689805108
8,bogande,12.9714,-0.1436,31.92,49,92,5.33,BF,1689805108
9,puerto natales,-51.7236,-72.4875,0.11,92,100,1.01,CL,1689804775
10,stanley,54.868,-1.6985,12.66,93,20,1.54,GB,1689804727
11,vallenar,-28.5708,-70.7581,22.3,18,100,1.29,CL,1689805109
12,grytviken,-54.2811,-36.5092,-0.31,84,68,5.54,GS,1689805109
13,thunder bay,48.4001,-89.3168,14.99,94,100,3.09,CA,1689804898
14,chonchi,-42.6128,-73.8092,11.73,97,100,2.42,CL,1689805110
15,pionerskiy,54.9508,20.2275,11.91,67,47,6.24,RU,1689805110
16,aktau,43.65,51.2,20.32,65,0,3.97,KZ,1689805110
17,qaqortoq,60.7167,-46.0333,8.38,95,100,1.69,GL,1689805110
18,benjamin aceval,-24.9667,-57.5667,16.08,56,59,0.97,PY,1689805111
19,longyearbyen,78.2186,15.6401,10.91,62,0,2.57,SJ,1689805111
20,tiksi,71.6872,128.8694,11.8,76,94,3.01,RU,1689805111
21,al bawiti,28.3492,28.8659,30.54,21,0,3.0,EG,1689805112
22,iqaluit,63.7506,-68.5145,3.85,100,100,4.63,CA,1689805112
23,selfoss,63.9331,-20.9971,11.69,69,67,3.9,IS,1689805112
24,whitehorse,60.7161,-135.0538,24.5,40,75,2.06,CA,1689805112
25,avarua,-21.2078,-159.775,23.03,46,49,2.57,CK,1689804942
26,banjarmasin,-3.3244,114.591,24.08,96,4,1.19,ID,1689805110
27,rosetta,31.4044,30.4164,25.59,74,0,2.01,EG,1689805113
28,bilibino,68.0546,166.4372,15.42,85,96,2.67,RU,1689805113
29,albany,42.6001,-73.9662,27.73,67,24,1.48,US,1689804928
30,bamboo flat,11.7,92.7167,28.05,83,40,3.6,IN,1689805114
31,arraial do cabo,-22.9661,-42.0278,19.92,88,100,5.14,BR,1689804886
32,ulanhot,46.0833,122.0833,20.94,74,36,2.97,CN,1689805114
33,chibougamau,49.9168,-74.3659,14.79,77,100,2.42,CA,1689805041
34,taroa,8.7058,171.2275,28.23,82,95,9.21,MH,1689805115
35,luau,-10.7073,22.2247,17.35,34,0,2.2,AO,1689805115
36,blackmans bay,-43.0167,147.3167,7.63,73,100,6.23,AU,1689805115
37,caleta de carquin,-11.0925,-77.6267,20.9,74,15,4.31,PE,1689805050
38,embu,-23.6489,-46.8522,15.75,96,100,4.07,BR,1689804908
39,divino das laranjeiras,-18.7778,-41.4797,23.6,55,42,2.84,BR,1689805115
40,pyetrykaw,52.1289,28.4921,14.05,70,47,1.81,BY,1689805116
41,port elizabeth,-33.918,25.5701,9.16,87,40,3.6,ZA,1689805116
42,caconda,-13.7333,15.0667,12.55,43,0,1.65,AO,1689805116
43,shalqar,47.8333,59.6,24.31,39,66,3.26,KZ,1689805116
44,badger,64.8,-147.5333,21.66,73,75,0.45,US,1689805117
45,puerto ayora,-0.7393,-90.3518,29.98,92,19,3.13,EC,1689805117
46,tura,25.5198,90.2201,24.23,94,85,2.56,IN,1689805117
47,yellowknife,62.456,-114.3525,27.29,29,75,0.0,CA,1689805117
48,chalisgaon,20.4667,75.0167,25.17,87,100,6.58,IN,1689805117
49,kapa'a,22.0752,-159.319,27.28,81,100,8.23,US,1689805118
50,georgetown,5.4112,100.3354,25.96,94,20,0.51,MY,1689805077
51,margaret river,-33.95,115.0667,12.75,72,95,5.31,AU,1689805118
52,edinburgh of the seven seas,-37.0676,-12.3116,13.62,85,100,8.32,SH,1689805118
53,dolinsk,47.35,142.8,18.55,84,91,1.54,RU,1689805118
54,remire-montjoly,4.9167,-52.2667,28.02,78,75,2.06,GF,1689805119
55,sitka,57.0531,-135.33,15.94,72,100,2.57,US,1689804873
56,tsiombe,-25.3,45.4833,18.5,83,0,1.99,MG,1689805119
57,west island,-12.1568,96.8225,24.99,83,40,6.69,CC,1689805119
58,lebu,-37.6167,-73.65,12.72,96,100,5.45,CL,1689805120
59,anadyr,64.75,177.4833,16.28,72,75,6.0,RU,1689805120
60,vila franca do campo,37.7167,-25.4333,21.23,81,95,0.75,PT,1689805120
61,iquique,-20.2208,-70.1431,18.02,75,18,2.32,CL,1689805120
62,hamilton,39.1834,-84.5333,29.32,77,0,3.6,US,1689804925
63,okha,53.5739,142.9478,15.61,89,86,2.6,RU,1689805121
64,fale old settlement,-9.3852,-171.2468,28.4,77,32,6.53,TK,1689805121
65,udachny,66.4167,112.4,16.78,71,48,4.98,RU,1689805121
66,dudinka,69.4058,86.1778,12.85,96,95,2.43,RU,1689805121
67,macherla,16.4833,79.4333,25.94,74,100,7.58,IN,1689805121
68,egilsstadir,65.2653,-14.3948,4.95,87,20,3.6,IS,1689805122
69,college,64.8569,-147.8028,21.71,74,75,0.0,US,1689805122
70,afaahiti,-17.75,-149.2833,22.93,94,45,10.32,PF,1689805122
71,port mathurin,-19.6833,63.4167,23.61,64,65,10.42,MU,1689805122
72,port lincoln,-34.7333,135.8667,13.03,72,96,8.62,AU,1689805123
73,pavlodar,52.3,76.95,20.89,73,40,6.0,KZ,1689805123
74,dillon,34.4166,-79.3712,35.02,57,96,4.7,US,1689805123
75,papatowai,-46.5619,169.4708,6.07,74,85,3.77,NZ,1689805123
76,jayapura,-2.5333,140.7,25.66,92,97,2.22,ID,1689805123
77,uturoa,-16.7333,-151.4333,24.69,87,96,8.25,PF,1689805124
78,ugep,5.8086,8.0812,23.51,96,100,1.91,NG,1689805124
79,aigues-mortes,43.5698,4.1871,28.58,28,0,6.17,FR,1689805124
80,aleg,17.0481,-13.9209,36.95,33,4,3.58,MR,1689805124
81,bethel,41.3712,-73.414,27.79,69,83,1.22,US,1689805124
82,berber,18.0216,33.983,34.49,16,28,4.1,SD,1689805125
83,colonia,50.9333,6.95,18.13,71,20,3.6,DE,1689805001
84,sokoni,-6.4333,39.55,24.5,80,3,5.85,TZ,1689805125
85,preobrazheniye,42.9019,133.9064,19.15,96,100,0.34,RU,1689805125
